,filename,label
0,1-100032-A.ogg,Dog bark
1,1-110389-A.ogg,Dog bark
2,1-30226-A.ogg,Dog bark
3,1-30344-A.ogg,Dog bark
4,1-32318-A.ogg,Dog bark
5,1-59513-A.ogg,Dog bark
6,1-85362-A.ogg,Dog bark
7,1-97392-A.ogg,Dog bark
8,2-114280-A.ogg,Dog bark
9,2-114587-A.ogg,Dog bark
10,2-116400-A.ogg,Dog bark
11,2-117271-A.ogg,Dog bark
12,2-118072-A.ogg,Dog bark
13,2-118964-A.ogg,Dog bark
14,2-122104-A.ogg,Dog bark
15,2-122104-B.ogg,Dog bark
16,3-136288-A.ogg,Dog bark
17,3-144028-A.ogg,Dog bark
18,3-155312-A.ogg,Dog bark
19,3-157695-A.ogg,Dog bark
20,3-163459-A.ogg,Dog bark
21,3-170015-A.ogg,Dog bark
22,3-180256-A.ogg,Dog bark
23,3-180977-A.ogg,Dog bark
24,4-182395-A.ogg,Dog bark
25,4-183992-A.ogg,Dog bark
26,4-184575-A.ogg,Dog bark
27,4-191687-A.ogg,Dog bark
28,4-192236-A.ogg,Dog bark
29,4-194754-A.ogg,Dog bark
30,4-199261-A.ogg,Dog bark
31,4-207124-A.ogg,Dog bark
32,5-203128-A.ogg,Dog bark
33,5-203128-B.ogg,Dog bark
34,5-208030-A.ogg,Dog bark
35,5-212454-A.ogg,Dog bark
36,5-213855-A.ogg,Dog bark
37,5-217158-A.ogg,Dog bark
38,5-231762-A.ogg,Dog bark
39,5-9032-A.ogg,Dog bark
40,1-17367-A.ogg,Rain
41,1-21189-A.ogg,Rain
42,1-26222-A.ogg,Rain
43,1-29561-A.ogg,Rain
44,1-50060-A.ogg,Rain
45,1-54958-A.ogg,Rain
46,1-56311-A.ogg,Rain
47,1-63871-A.ogg,Rain
48,2-101676-A.ogg,Rain
49,2-117625-A.ogg,Rain
50,2-72970-A.ogg,Rain
51,2-73027-A.ogg,Rain
52,2-73260-A.ogg,Rain
53,2-81731-A.ogg,Rain
54,2-82367-A.ogg,Rain
55,2-87781-A.ogg,Rain
56,3-132852-A.ogg,Rain
57,3-140774-A.ogg,Rain
58,3-142005-A.ogg,Rain
59,3-142006-A.ogg,Rain
60,3-143929-A.ogg,Rain
61,3-157149-A.ogg,Rain
62,3-157487-A.ogg,Rain
63,3-157615-A.ogg,Rain
64,4-160999-A.ogg,Rain
